logSection	time	logText	value
Tutorial	274765	Tree node hover start: filter=Filter1, nodeName=Villes, isFolder=true, nodeRef=undefined	
Tutorial	277006	Tree node hover start: filter=Filter1, nodeName=Tours des téléphonie, isFolder=true, nodeRef=undefined	
Tutorial	277290	Tree node hover start: filter=Filter1, nodeName=Villes, isFolder=true, nodeRef=undefined	
Tutorial	277722	Tree node hover start: filter=Filter1, nodeName=Tours des téléphonie, isFolder=true, nodeRef=undefined	
Tutorial	277873	Tree node hover start: filter=Filter1, nodeName=Sommets, isFolder=true, nodeRef=undefined	
Tutorial	278125	Tree node hover start: filter=Filter1, nodeName=Tours des téléphonie, isFolder=true, nodeRef=undefined	
Tutorial	278152	Tree node hover start: filter=Filter1, nodeName=Villes, isFolder=true, nodeRef=undefined	
Tutorial	278305	Tree node hover start: filter=Filter1, nodeName=Villes, isFolder=true, nodeRef=undefined	
Tutorial	278711	Tree node hover start: filter=Filter1, nodeName=Tours des téléphonie, isFolder=true, nodeRef=undefined	
Tutorial	284802	ExperimentInstructions Step 5/13	
Tutorial	295667	setPrompt() oldPrompt=4.5, newPrompt=5	
Tutorial	295772	Filtering item tree to current zone with buffer 0.5, screen bounding box: 45.09265002480069,5.836099671567163,45.15903086393686,5.969081328432839 Filter1	
Tutorial	295795	clearTreeZoneFilter()	
Tutorial	296467	Tree node hover start: filter=Filter1, nodeName=Tours des téléphonie, isFolder=true, nodeRef=undefined	
Tutorial	296498	Tree node hover start: filter=Filter1, nodeName=Remontées mécaniques, isFolder=true, nodeRef=undefined	
Tutorial	299506	Adding a new filter: Filter2	
Tutorial	299519	selectFilter(Filter2)	
Tutorial	299624	setPrompt() oldPrompt=-1, newPrompt=6	
Tutorial	303724	Tree node hover start: filter=Filter2, nodeName=Tours des téléphonie, isFolder=true, nodeRef=undefined	
Tutorial	304281	Tree node hover start: filter=Filter2, nodeName=Villes, isFolder=true, nodeRef=undefined	
Tutorial	304431	Tree node hover start: filter=Filter2, nodeName=Tours des téléphonie, isFolder=true, nodeRef=undefined	
Tutorial	304616	Tree node hover start: filter=Filter2, nodeName=Sommets, isFolder=true, nodeRef=undefined	
Tutorial	305421	Tree node hover start: filter=Filter2, nodeName=Ruisseaus, isFolder=true, nodeRef=undefined	
Tutorial	308761	Tree node hover start: filter=Filter2, nodeName=Plan d'Eau, isFolder=true, nodeRef=undefined	
Tutorial	309080	Tree node hover start: filter=Filter2, nodeName=Lacs, isFolder=true, nodeRef=undefined	
Tutorial	315805	setPrompt() oldPrompt=6, newPrompt=7	
Tutorial	315806	Node Selected: filter=Filter2, nodeName=Lacs, isFolder=true, nodeRef=undefined	
Tutorial	315808	Filter Updated: Filter2 Buffer=, Distance=, SelectedItems=Lacs	
Tutorial	315812	updateZoneForCurrentFilter()	
Tutorial	315815	recalcZones()	
Tutorial	315948	Scenarios recalculated in:	133
Tutorial	315948	Current Zone Size (km2): Scenario 1	27.954327229172122
Tutorial	316333	Tree node hover start: filter=Filter2, nodeName=Lacs, isFolder=true, nodeRef=undefined	
Tutorial	317978	bufferChanged() Filter1, 2.9	
Tutorial	317978	setPrompt() oldPrompt=7, newPrompt=8	
Tutorial	317981	selectFilter(Filter1)	
Tutorial	318076	Filter Updated: Filter1 Buffer=2.9, Distance=, SelectedItems=2956262177-Croix de Chamrousse	
Tutorial	318076	updateZoneForCurrentFilter()	
Tutorial	318077	User aborted calculation of zone after data point number warning with data points=1	
Tutorial	318086	Zone recalculated for Filter1 in: 	9
Tutorial	318087	recalcZones()	
Tutorial	318221	Scenarios recalculated in:	133
Tutorial	318221	Current Zone Size (km2): Scenario 1	26.1217656815627
Tutorial	318271	bufferChanged() Filter1, 2.8	
Tutorial	318271	setPrompt() oldPrompt=8, newPrompt=2	
Tutorial	318272	selectFilter(Filter1)	
Tutorial	318337	Filter Updated: Filter1 Buffer=2.8, Distance=, SelectedItems=2956262177-Croix de Chamrousse	
Tutorial	318338	updateZoneForCurrentFilter()	
Tutorial	318338	User aborted calculation of zone after data point number warning with data points=1	
Tutorial	318349	Zone recalculated for Filter1 in: 	11
Tutorial	318350	recalcZones()	
Tutorial	318457	Scenarios recalculated in:	107
Tutorial	318457	Current Zone Size (km2): Scenario 1	24.351324877169652
Tutorial	318500	bufferChanged() Filter1, 2.7	
Tutorial	318500	setPrompt() oldPrompt=8, newPrompt=2	
Tutorial	318500	selectFilter(Filter1)	
Tutorial	318561	Filter Updated: Filter1 Buffer=2.7, Distance=, SelectedItems=2956262177-Croix de Chamrousse	
Tutorial	318561	updateZoneForCurrentFilter()	
Tutorial	318562	User aborted calculation of zone after data point number warning with data points=1	
Tutorial	318576	Zone recalculated for Filter1 in: 	13
Tutorial	318576	recalcZones()	
Tutorial	318675	Scenarios recalculated in:	99
Tutorial	318676	Current Zone Size (km2): Scenario 1	22.643004814672413
Tutorial	318683	bufferChanged() Filter1, 2.6	
Tutorial	318683	setPrompt() oldPrompt=8, newPrompt=2	
Tutorial	318683	selectFilter(Filter1)	
Tutorial	318737	Filter Updated: Filter1 Buffer=2.6, Distance=, SelectedItems=2956262177-Croix de Chamrousse	
Tutorial	318737	updateZoneForCurrentFilter()	
Tutorial	318739	User aborted calculation of zone after data point number warning with data points=1	
Tutorial	318752	Zone recalculated for Filter1 in: 	13
Tutorial	318752	recalcZones()	
Tutorial	318847	Scenarios recalculated in:	94
Tutorial	318847	Current Zone Size (km2): Scenario 1	20.996805492775362
Tutorial	319018	bufferChanged() Filter1, 2.5	
Tutorial	319018	setPrompt() oldPrompt=8, newPrompt=2	
Tutorial	319019	selectFilter(Filter1)	
Tutorial	319077	Filter Updated: Filter1 Buffer=2.5, Distance=, SelectedItems=2956262177-Croix de Chamrousse	
Tutorial	319077	updateZoneForCurrentFilter()	
Tutorial	319079	User aborted calculation of zone after data point number warning with data points=1	
Tutorial	319087	Zone recalculated for Filter1 in: 	8
Tutorial	319087	recalcZones()	
Tutorial	319184	Scenarios recalculated in:	96
Tutorial	319185	Current Zone Size (km2): Scenario 1	19.41272691025546
Tutorial	319242	bufferChanged() Filter1, 2.4	
Tutorial	319242	setPrompt() oldPrompt=8, newPrompt=2	
Tutorial	319242	selectFilter(Filter1)	
Tutorial	319299	Filter Updated: Filter1 Buffer=2.4, Distance=, SelectedItems=2956262177-Croix de Chamrousse	
Tutorial	319299	updateZoneForCurrentFilter()	
Tutorial	319300	User aborted calculation of zone after data point number warning with data points=1	
Tutorial	319306	Zone recalculated for Filter1 in: 	6
Tutorial	319306	recalcZones()	
Tutorial	319382	Scenarios recalculated in:	74
Tutorial	319382	Current Zone Size (km2): Scenario 1	17.890769065938464
Tutorial	319419	bufferChanged() Filter1, 2.3	
Tutorial	319420	setPrompt() oldPrompt=8, newPrompt=2	
Tutorial	319420	selectFilter(Filter1)	
Tutorial	319482	Filter Updated: Filter1 Buffer=2.3, Distance=, SelectedItems=2956262177-Croix de Chamrousse	
Tutorial	319482	updateZoneForCurrentFilter()	
Tutorial	319483	User aborted calculation of zone after data point number warning with data points=1	
Tutorial	319487	Zone recalculated for Filter1 in: 	4
Tutorial	319488	recalcZones()	
Tutorial	319563	Scenarios recalculated in:	75
Tutorial	319563	Current Zone Size (km2): Scenario 1	16.43093195868693
Tutorial	319600	bufferChanged() Filter1, 2.2	
Tutorial	319601	setPrompt() oldPrompt=8, newPrompt=2	
Tutorial	319602	selectFilter(Filter1)	
Tutorial	319660	Filter Updated: Filter1 Buffer=2.2, Distance=, SelectedItems=2956262177-Croix de Chamrousse	
Tutorial	319660	updateZoneForCurrentFilter()	
